date,day,start,end,duration_min,sort_order,item_order,id,parent_id,row_type,session,session_name,title,speaker,affiliation,type,room,description
2026-07-07,Day 02,14:50,15:30,,6,,,,event,,,Coffee Break,,,Break,,
,,,,,,1,,,talk,6,,GravoTet: A Fast Multigrid Hierarchy Construction for Tetrahedral Meshes,"Marcel Padilla, Ruben Wiersma, Tim Huisman, Jackson Compolattaro, Olga Sorkine-Hornung and Klaus Hildebrandt",,,,
,,,,,,2,,,talk,6,,Direct Volume Rendering of Tree-based Tetrahedral Adaptive Mesh Refinement Data (CAG),"Musa Ege Ünalan, Serkan Demirci, Stefan Zellmann, Uğur Güdükbay",,,,
,,,,,,3,,,talk,6,,VOX2Surf: Faithful Surface Extraction from Coarse Binary Voxels,"Hari Hara Gowtham Jetti, Leiheng Qin, Chi Huynh, Joe Khawand, Anandhu Sureshkumar, Nicholas Vining, Marie-Paule Cani, Amal Dev Parakkat and Alla Sheffer",,,,
,,,,,,4,,,talk,6,,An algebraic framework for precise and robust swept-volume computation,Jinesh Machchhar,,,,
2026-07-07,Day 02,16:50,17:05,,8,,,,event,,,Coffee Break,,,Break,,
2026-07-07,Day 02,17:05,17:45,,9,,,,event,,,SPM Award Ceremony,,,SPM,,
2026-07-07,Day 02,18:00,,,10,,,,event,,,Meeting at the entrance,,,Social,,
2026-07-07,Day 02,18:30,22:30,,11,,,,event,,,Banquet at Ferryboat + Bosphorus Tour,,,Social,,
2026-07-08,Day 03,09:00,10:00,,1,,,,event,,,Constructing and reconstructing surface geometries,Tamas Varady,,Keynote,,Keynote Talk
2026-07-08,Day 03,10:00,10:40,,2,,,,event,,,Coffee Break,,,Break,,
,,,,,,1,,,talk,7,,Sinkhorn-CPD: Robust Point Cloud Registration via Unbalanced Entropic Optimal Transport (Online),"Jin Zhang, Mingyang Zhao, Bing Liu and Xin Jiang",,,,
,,,,,,2,,,talk,7,,PointInDI: Inversion by Direct Iteration for Point Cloud Denoising,"Zheng Liu, Zhenyu Huang, Chuchen Guo, Maodong Pan and Ying He",,,,
,,,,,,3,,,talk,7,,PoseMerge: Joint Registration and Fusion of Pose-Wise Neural Implicit Surfaces for Multi-Pose 3D Reconstruction,"Guanli Hou, Yuanmu Xu, Tenglong Ren, Jiangbei Hu, Fei Hou, Peng Song and Ying He",,,,
,,,,,,4,,,talk,7,,GSurf: Learning Signed Distance Fields from Splatting Opaque Gaussians for High-quality 3D Reconstruction,"Baixin Xu, Jiangbei Hu, Jiaze Li and Ying He",,,,
2026-07-08,Day 03,12:00,13:30,,4,,,,event,,,Lunch,,,Lunch,,
,,,,,,1,,,talk,8,,BladePHT: Globally Consistent Modeling of Blade Surfaces using PHT-splines,Bin Li and Zhouwang Yang,,,,
,,,,,,2,,,talk,8,,Approximating Doo-Sabin limit surfaces using geometrically continuous Bézier patches,"Dimitrios Tolis, Michelangelo Marsala, Angelos Mantzaflaris and Bernard Mourrain",,,,
